Date,Team 1,Score,Team 2,Tournament,City
Thu Jan 1 2009,Uganda,4-0,Rwanda,CECAFA Cup,Kampala › Uganda
Thu Jan 1 2009,Zanzibar,2-0,Somalia,CECAFA Cup,Kampala › Uganda
Fri Jan 2 2009,Djibouti,0-4,Burundi,CECAFA Cup,Jinja › Uganda
Fri Jan 2 2009,Kenya,0-0,Zambia,CECAFA Cup,Jinja › Uganda
Sat Jan 3 2009,Somalia,1-0,Tanzania,CECAFA Cup,Kampala › Uganda
Sat Jan 3 2009,Uganda,0-0,Zanzibar,CECAFA Cup,Kampala › Uganda
Sun Jan 4 2009,Bahrain,3-1,Iraq,Gulf Cup,Muscat › Oman
Sun Jan 4 2009,Djibouti,1-1,Sudan,CECAFA Cup,Jinja › Uganda
Sun Jan 4 2009,Oman,0-0,Kuwait,Gulf Cup,Muscat › Oman
Sun Jan 4 2009,Zambia,1-1,Burundi,CECAFA Cup,Jinja › Uganda
Mon Jan 5 2009,Rwanda,3-0,Somalia,CECAFA Cup,Kampala › Uganda
Mon Jan 5 2009,Saudi Arabia,0-0,Qatar,Gulf Cup,Muscat › Oman
Mon Jan 5 2009,Tanzania,2-1,Zanzibar,CECAFA Cup,Kampala › Uganda
Mon Jan 5 2009,United Arab Emirates,3-1,Yemen,Gulf Cup,Muscat › Oman
Tue Jan 6 2009,Burundi,1-0,Sudan,CECAFA Cup,Jinja › Uganda
Tue Jan 6 2009,Kenya,5-1,Djibouti,CECAFA Cup,Jinja › Uganda
Wed Jan 7 2009,Bahrain,0-1,Kuwait,Gulf Cup,Muscat › Oman
Wed Jan 7 2009,Oman,4-0,Iraq,Gulf Cup,Muscat › Oman
Wed Jan 7 2009,Rwanda,0-2,Tanzania,CECAFA Cup,Kampala › Uganda
Wed Jan 7 2009,Uganda,4-0,Somalia,CECAFA Cup,Kampala › Uganda
Thu Jan 8 2009,Burundi,0-1,Kenya,CECAFA Cup,Kampala › Uganda
Thu Jan 8 2009,Qatar,0-0,United Arab Emirates,Gulf Cup,Muscat › Oman
Thu Jan 8 2009,Saudi Arabia,6-0,Yemen,Gulf Cup,Muscat › Oman
Thu Jan 8 2009,Sudan,2-0,Zambia,CECAFA Cup,Kampala › Uganda
Fri Jan 9 2009,Iran,3-1,China PR,Friendly,Teheran › Iran
Fri Jan 9 2009,Uganda,2-1,Tanzania,CECAFA Cup,Kampala › Uganda
Fri Jan 9 2009,Zanzibar,0-3,Rwanda,CECAFA Cup,Kampala › Uganda
Sat Jan 10 2009,Iraq,1-1,Kuwait,Gulf Cup,Muscat › Oman
Sat Jan 10 2009,Oman,2-0,Bahrain,Gulf Cup,Muscat › Oman
Sun Jan 11 2009,Kenya,2-1,Tanzania,CECAFA Cup,Kampala › Uganda
Sun Jan 11 2009,Qatar,2-1,Yemen,Gulf Cup,Muscat › Oman
Sun Jan 11 2009,Uganda,5-0,Burundi,CECAFA Cup,Kampala › Uganda
Sun Jan 11 2009,United Arab Emirates,0-3,Saudi Arabia,Gulf Cup,Muscat › Oman
Tue Jan 13 2009,Tanzania,3-2,Burundi,CECAFA Cup,Kampala › Uganda
Tue Jan 13 2009,Uganda,1-0,Kenya,CECAFA Cup,Kampala › Uganda
Wed Jan 14 2009,Hong Kong,2-1,India,Friendly,Victoria › Hong Kong
Wed Jan 14 2009,Iran,6-0,Singapore,AFC Asian Cup qualification,Teheran › Iran
Wed Jan 14 2009,Jordan,0-0,Thailand,AFC Asian Cup qualification,Amman › Jordan
Wed Jan 14 2009,Kuwait,0-1,Saudi Arabia,Gulf Cup,Muscat › Oman
Wed Jan 14 2009,Oman,1-0,Qatar,Gulf Cup,Muscat › Oman
Wed Jan 14 2009,Syria,3-2,China PR,AFC Asian Cup qualification,Aleppo › Syria
Wed Jan 14 2009,Vietnam,3-1,Lebanon,AFC Asian Cup qualification,Hanoi › Vietnam
Sat Jan 17 2009,Guatemala,1-0,Haiti,Friendly,Fort Pierce › United States
Sat Jan 17 2009,Oman,0-0,Saudi Arabia,Gulf Cup,Muscat › Oman
Sun Jan 18 2009,Honduras,2-0,Chile,Friendly,Fort Lauderdale › United States
Sun Jan 18 2009,Syria,5-1,Turkmenistan,Friendly,Kuwait City › Kuwait
Mon Jan 19 2009,Oman,0-0,Indonesia,AFC Asian Cup qualification,Muscat › Oman
Tue Jan 20 2009,Japan,2-1,Yemen,AFC Asian Cup qualification,Kumamoto › Japan
Tue Jan 20 2009,Kuwait,2-0,Turkmenistan,Friendly,Kuwait City › Kuwait
Wed Jan 21 2009,China PR,6-1,Vietnam,AFC Asian Cup qualification,Hangzhou › China PR
Wed Jan 21 2009,Hong Kong,1-3,Bahrain,AFC Asian Cup qualification,So Kon Po › Hong Kong
Wed Jan 21 2009,Malaysia,0-5,United Arab Emirates,AFC Asian Cup qualification,Kuala Lumpur › Malaysia
Wed Jan 21 2009,Thailand,2-1,Lebanon,King's Cup,Phuket › Thailand
Thu Jan 22 2009,El Salvador,1-1,Nicaragua,UNCAF Cup,Tegucigalpa › Honduras
Thu Jan 22 2009,Honduras,2-1,Belize,UNCAF Cup,Tegucigalpa › Honduras
Fri Jan 23 2009,Costa Rica,3-0,Panama,UNCAF Cup,Tegucigalpa › Honduras
Fri Jan 23 2009,Egypt,1-0,Kenya,Friendly,Cairo › Egypt
Fri Jan 23 2009,North Korea,0-1,Lebanon,King's Cup,Phuket › Thailand
Fri Jan 23 2009,Kuwait,2-3,Syria,Friendly,Kuwait City › Kuwait
Sat Jan 24 2009,Belize,1-4,El Salvador,UNCAF Cup,Tegucigalpa › Honduras
Sat Jan 24 2009,Honduras,4-1,Nicaragua,UNCAF Cup,Tegucigalpa › Honduras
Sat Jan 24 2009,United States,3-2,Sweden,Friendly,Carson › United States
Sun Jan 25 2009,Guatemala,1-3,Costa Rica,UNCAF Cup,Tegucigalpa › Honduras
Mon Jan 26 2009,Honduras,2-0,El Salvador,UNCAF Cup,Tegucigalpa › Honduras
Mon Jan 26 2009,Nicaragua,1-1,Belize,UNCAF Cup,Tegucigalpa › Honduras
Tue Jan 27 2009,Panama,1-0,Guatemala,UNCAF Cup,Tegucigalpa › Honduras
Tue Jan 27 2009,South Africa,1-0,Zambia,Friendly,Atteridgeville › South Africa
Wed Jan 28 2009,Bahrain,1-0,Japan,AFC Asian Cup qualification,Riffa › Bahrain
Wed Jan 28 2009,Indonesia,0-0,Australia,AFC Asian Cup qualification,Jakarta › Indonesia
Wed Jan 28 2009,Kuwait,0-1,Oman,AFC Asian Cup qualification,Kuwait City › Kuwait
