Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 4 2015,Bahrain,1-0,Jordan,Friendly,Ballarat › Australia
Sun Jan 4 2015,Iran,1-0,Iraq,Friendly,Wollongong › Australia
Sun Jan 4 2015,South Korea,2-0,Saudi Arabia,Friendly,Parramatta › Australia
Sun Jan 4 2015,South Africa,1-0,Zambia,Friendly,Johannesburg › South Africa
Mon Jan 5 2015,China PR,4-1,Oman,Friendly,Penrith › Australia
Wed Jan 7 2015,Cameroon,1-1,DR Congo,Friendly,Yaoundé › Cameroon
Fri Jan 9 2015,Australia,4-1,Kuwait,AFC Asian Cup,Melbourne › Australia
Fri Jan 9 2015,Senegal,1-0,Gabon,Friendly,Casablanca › Morocco
Sat Jan 10 2015,Burkina Faso,5-1,Eswatini,Friendly,Nelspruit › South Africa
Sat Jan 10 2015,Cameroon,1-1,South Africa,Friendly,Libreville › Gabon
Sat Jan 10 2015,Cape Verde,3-2,Congo,Friendly,Dakar › Senegal
Sat Jan 10 2015,South Korea,1-0,Oman,AFC Asian Cup,Canberra › Australia
Sat Jan 10 2015,Saudi Arabia,0-1,China PR,AFC Asian Cup,Brisbane › Australia
Sat Jan 10 2015,Uzbekistan,1-0,North Korea,AFC Asian Cup,Sydney › Australia
Sun Jan 11 2015,Iran,2-0,Bahrain,AFC Asian Cup,Melbourne › Australia
Sun Jan 11 2015,Nigeria,0-1,Ivory Coast,Friendly,Abu Dhabi › United Arab Emirates
Sun Jan 11 2015,Tunisia,1-1,Algeria,Friendly,Radès › Tunisia
Sun Jan 11 2015,United Arab Emirates,4-1,Qatar,AFC Asian Cup,Canberra › Australia
Mon Jan 12 2015,Japan,4-0,Palestine,AFC Asian Cup,Newcastle › Australia
Mon Jan 12 2015,Jordan,0-1,Iraq,AFC Asian Cup,Brisbane › Australia
Tue Jan 13 2015,Australia,4-0,Oman,AFC Asian Cup,Sydney › Australia
Tue Jan 13 2015,Botswana,0-2,Burkina Faso,Friendly,Nelspruit › South Africa
Tue Jan 13 2015,Kuwait,0-1,South Korea,AFC Asian Cup,Canberra › Australia
Tue Jan 13 2015,Senegal,5-2,Guinea,Friendly,Casablanca › Morocco
Wed Jan 14 2015,China PR,2-1,Uzbekistan,AFC Asian Cup,Brisbane › Australia
Wed Jan 14 2015,North Korea,1-4,Saudi Arabia,AFC Asian Cup,Melbourne › Australia
Wed Jan 14 2015,Mali,0-3,South Africa,Friendly,Libreville › Gabon
Thu Jan 15 2015,Bahrain,1-2,United Arab Emirates,AFC Asian Cup,Canberra › Australia
Thu Jan 15 2015,Qatar,0-1,Iran,AFC Asian Cup,Sydney › Australia
Thu Jan 15 2015,Sweden,2-0,Ivory Coast,Friendly,Abu Dhabi › United Arab Emirates
Fri Jan 16 2015,Canada,1-2,Iceland,Friendly,Orlando › United States
Fri Jan 16 2015,Iraq,0-1,Japan,AFC Asian Cup,Brisbane › Australia
Fri Jan 16 2015,Palestine,1-5,Jordan,AFC Asian Cup,Melbourne › Australia
Sat Jan 17 2015,Australia,0-1,South Korea,AFC Asian Cup,Brisbane › Australia
Sat Jan 17 2015,Burkina Faso,0-2,Gabon,African Cup of Nations,Bata › Equatorial Guinea
Sat Jan 17 2015,Equatorial Guinea,1-1,Congo,African Cup of Nations,Bata › Equatorial Guinea
Sat Jan 17 2015,Oman,1-0,Kuwait,AFC Asian Cup,Newcastle › Australia
Sat Jan 17 2015,Yemen,0-2,Nigeria,Friendly,Dubai › United Arab Emirates
Sun Jan 18 2015,China PR,2-1,North Korea,AFC Asian Cup,Canberra › Australia
Sun Jan 18 2015,Tunisia,1-1,Cape Verde,African Cup of Nations,Ebebiyín › Equatorial Guinea
Sun Jan 18 2015,Uzbekistan,3-1,Saudi Arabia,AFC Asian Cup,Melbourne › Australia
Sun Jan 18 2015,Zambia,1-1,DR Congo,African Cup of Nations,Ebebiyín › Equatorial Guinea
Mon Jan 19 2015,Algeria,3-1,South Africa,African Cup of Nations,Mongomo › Equatorial Guinea
Mon Jan 19 2015,Canada,1-1,Iceland,Friendly,Orlando › United States
Mon Jan 19 2015,Finland,1-0,Sweden,Friendly,Abu Dhabi › United Arab Emirates
Mon Jan 19 2015,Ghana,1-2,Senegal,African Cup of Nations,Mongomo › Equatorial Guinea
Mon Jan 19 2015,Iran,1-0,United Arab Emirates,AFC Asian Cup,Brisbane › Australia
Mon Jan 19 2015,Qatar,1-2,Bahrain,AFC Asian Cup,Sydney › Australia
Tue Jan 20 2015,Iraq,2-0,Palestine,AFC Asian Cup,Canberra › Australia
Tue Jan 20 2015,Ivory Coast,1-1,Guinea,African Cup of Nations,Malabo › Equatorial Guinea
Tue Jan 20 2015,Japan,2-0,Jordan,AFC Asian Cup,Melbourne › Australia
Tue Jan 20 2015,Mali,1-1,Cameroon,African Cup of Nations,Malabo › Equatorial Guinea
Wed Jan 21 2015,Equatorial Guinea,0-0,Burkina Faso,African Cup of Nations,Bata › Equatorial Guinea
Wed Jan 21 2015,Gabon,0-1,Congo,African Cup of Nations,Bata › Equatorial Guinea
Thu Jan 22 2015,Australia,2-0,China PR,AFC Asian Cup,Brisbane › Australia
Thu Jan 22 2015,Cape Verde,0-0,DR Congo,African Cup of Nations,Ebebiyín › Equatorial Guinea
Thu Jan 22 2015,South Korea,2-0,Uzbekistan,AFC Asian Cup,Melbourne › Australia
Thu Jan 22 2015,Yemen,0-0,Finland,Friendly,Dubai › United Arab Emirates
Thu Jan 22 2015,Zambia,1-2,Tunisia,African Cup of Nations,Ebebiyín › Equatorial Guinea
