Date,Team 1,Score,Team 2,Tournament,City
Sat Jan 2 2010,Iran,1-0,North Korea,Friendly,Doha › Qatar
Sat Jan 2 2010,Qatar,0-0,Mali,Friendly,Doha › Qatar
Sat Jan 2 2010,Syria,6-0,Zimbabwe,Friendly,Kuala Lumpur › Malaysia
Sat Jan 2 2010,Yemen,0-1,Tajikistan,Friendly,Sana'a › Yemen
Sun Jan 3 2010,Angola,1-1,Gambia,Friendly,Vila Real de Santo António › Portugal
Mon Jan 4 2010,Egypt,1-0,Mali,Friendly,Dubai › United Arab Emirates
Mon Jan 4 2010,Tanzania,0-1,Ivory Coast,Friendly,Dar es Salaam › Tanzania
Tue Jan 5 2010,Ghana,0-0,Malawi,Friendly,Manzini › Eswatini
Wed Jan 6 2010,Bahrain,4-0,Hong Kong,AFC Asian Cup qualification,Riffa › Bahrain
Wed Jan 6 2010,Benin,1-0,Libya,Friendly,Cotonou › Benin
Wed Jan 6 2010,China PR,0-0,Syria,AFC Asian Cup qualification,Hangzhou › China PR
Wed Jan 6 2010,Gabon,2-0,Mozambique,Friendly,Bloemfontein › South Africa
Wed Jan 6 2010,Indonesia,1-2,Oman,AFC Asian Cup qualification,Jakarta › Indonesia
Wed Jan 6 2010,Kuwait,2-2,Australia,AFC Asian Cup qualification,Kuwait City › Kuwait
Wed Jan 6 2010,Lebanon,1-1,Vietnam,AFC Asian Cup qualification,Sidon › Lebanon
Wed Jan 6 2010,Singapore,1-3,Iran,AFC Asian Cup qualification,Singapore › Singapore
Wed Jan 6 2010,Thailand,0-0,Jordan,AFC Asian Cup qualification,Bangkok › Thailand
Wed Jan 6 2010,United Arab Emirates,1-0,Malaysia,AFC Asian Cup qualification,Dubai › United Arab Emirates
Wed Jan 6 2010,Yemen,2-3,Japan,AFC Asian Cup qualification,Sana'a › Yemen
Thu Jan 7 2010,Rwanda,0-2,Ivory Coast,Friendly,Dar es Salaam › Tanzania
Sat Jan 9 2010,Kenya,1-3,Cameroon,Friendly,Nairobi › Kenya
Sat Jan 9 2010,Tunisia,1-2,Gambia,Friendly,Radès › Tunisia
Sat Jan 9 2010,Zambia,4-2,South Korea,Friendly,Johannesburg › South Africa
Sun Jan 10 2010,Angola,4-4,Mali,African Cup of Nations,Luanda › Angola
Mon Jan 11 2010,Ivory Coast,0-0,Burkina Faso,African Cup of Nations,Cabinda › Angola
Mon Jan 11 2010,Malawi,3-0,Algeria,African Cup of Nations,Luanda › Angola
Tue Jan 12 2010,Egypt,3-1,Nigeria,African Cup of Nations,Benguela › Angola
Tue Jan 12 2010,Mozambique,2-2,Benin,African Cup of Nations,Benguela › Angola
Wed Jan 13 2010,Cameroon,0-1,Gabon,African Cup of Nations,Lubango › Angola
Wed Jan 13 2010,Zambia,1-1,Tunisia,African Cup of Nations,Lubango › Angola
Thu Jan 14 2010,Angola,2-0,Malawi,African Cup of Nations,Luanda › Angola
Thu Jan 14 2010,Mali,0-1,Algeria,African Cup of Nations,Luanda › Angola
Fri Jan 15 2010,Ivory Coast,3-1,Ghana,African Cup of Nations,Cabinda › Angola
Fri Jan 15 2010,Yemen,3-1,Kenya,Friendly,Sana'a › Yemen
Sat Jan 16 2010,Egypt,2-0,Mozambique,African Cup of Nations,Benguela › Angola
Sat Jan 16 2010,Nigeria,1-0,Benin,African Cup of Nations,Benguela › Angola
Sun Jan 17 2010,Cameroon,3-2,Zambia,African Cup of Nations,Lubango › Angola
Sun Jan 17 2010,Gabon,0-0,Tunisia,African Cup of Nations,Lubango › Angola
Sun Jan 17 2010,Thailand,1-0,Singapore,King's Cup,Nakhon Ratchasima › Thailand
Sun Jan 17 2010,Vietnam,1-2,China PR,AFC Asian Cup qualification,Hanoi › Vietnam
Mon Jan 18 2010,Angola,0-0,Algeria,African Cup of Nations,Luanda › Angola
Mon Jan 18 2010,Finland,0-2,South Korea,Friendly,Málaga › Spain
Mon Jan 18 2010,Mali,3-1,Malawi,African Cup of Nations,Cabinda › Angola
Tue Jan 19 2010,Burkina Faso,0-1,Ghana,African Cup of Nations,Luanda › Angola
Wed Jan 20 2010,Chile,2-1,Panama,Friendly,Coquimbo › Chile
Wed Jan 20 2010,Egypt,2-0,Benin,African Cup of Nations,Benguela › Angola
Wed Jan 20 2010,Nigeria,3-0,Mozambique,African Cup of Nations,Lubango › Angola
Wed Jan 20 2010,Oman,0-1,Sweden,Friendly,Muscat › Oman
Wed Jan 20 2010,Thailand,1-3,Poland,King's Cup,Nakhon Ratchasima › Thailand
Wed Jan 20 2010,Yemen,3-0,Bahrain,AFC Asian Cup qualification,Sana'a › Yemen
Thu Jan 21 2010,Cameroon,2-2,Tunisia,African Cup of Nations,Lubango › Angola
Thu Jan 21 2010,Gabon,1-2,Zambia,African Cup of Nations,Benguela › Angola
Fri Jan 22 2010,Latvia,0-1,South Korea,Friendly,Málaga › Spain
Sat Jan 23 2010,Poland,6-1,Singapore,King's Cup,Nakhon Ratchasima › Thailand
Sat Jan 23 2010,Syria,1-1,Sweden,Friendly,Damascus › Syria
Sat Jan 23 2010,United States,1-3,Honduras,Friendly,Carson › United States
Sun Jan 24 2010,Angola,0-1,Ghana,African Cup of Nations,Luanda › Angola
Sun Jan 24 2010,Ivory Coast,2-3,Algeria,African Cup of Nations,Cabinda › Angola
Mon Jan 25 2010,Egypt,3-1,Cameroon,African Cup of Nations,Benguela › Angola
Mon Jan 25 2010,Zambia,0-0,Nigeria,African Cup of Nations,Lubango › Angola
Tue Jan 26 2010,Argentina,3-2,Costa Rica,Friendly,San Juan › Argentina
Wed Jan 27 2010,South Africa,3-0,Zimbabwe,Friendly,Durban › South Africa
Thu Jan 28 2010,Algeria,0-4,Egypt,African Cup of Nations,Benguela › Angola
Thu Jan 28 2010,Ghana,1-0,Nigeria,African Cup of Nations,Luanda › Angola
Sat Jan 30 2010,Nigeria,1-0,Algeria,African Cup of Nations,Benguela › Angola
Sun Jan 31 2010,Ghana,0-1,Egypt,African Cup of Nations,Luanda › Angola
Sun Jan 31 2010,Jamaica,1-0,Canada,Friendly,Kingston › Jamaica
Tue Feb 2 2010,Japan,0-0,Venezuela,Friendly,Ōita › Japan
Sat Feb 6 2010,Japan,0-0,China PR,EAFF Championship,Tokyo › Japan
Sun Feb 7 2010,South Korea,5-0,Hong Kong,EAFF Championship,Tokyo › Japan
Wed Feb 10 2010,Argentina,2-1,Jamaica,Friendly,Mar del Plata › Argentina
Wed Feb 10 2010,China PR,3-0,South Korea,EAFF Championship,Tokyo › Japan
Thu Feb 11 2010,Japan,3-0,Hong Kong,EAFF Championship,Tokyo › Japan
Sun Feb 14 2010,Hong Kong,0-2,China PR,EAFF Championship,Tokyo › Japan
Sun Feb 14 2010,Japan,1-3,South Korea,EAFF Championship,Tokyo › Japan
Tue Feb 16 2010,Sri Lanka,0-4,Burma,AFC Challenge Cup,Colombo › Sri Lanka
Tue Feb 16 2010,Tajikistan,1-2,Bangladesh,AFC Challenge Cup,Colombo › Sri Lanka
Wed Feb 17 2010,North Korea,1-1,Turkmenistan,AFC Challenge Cup,Colombo › Sri Lanka
Thu Feb 18 2010,Bangladesh,1-2,Burma,AFC Challenge Cup,Colombo › Sri Lanka
Thu Feb 18 2010,Sri Lanka,1-3,Tajikistan,AFC Challenge Cup,Colombo › Sri Lanka
Fri Feb 19 2010,Kuwait,1-1,Syria,Friendly,Al Ain › United Arab Emirates
Fri Feb 19 2010,Kyrgyzstan,0-4,North Korea,AFC Challenge Cup,Colombo › Sri Lanka
Sat Feb 20 2010,Sri Lanka,3-0,Bangladesh,AFC Challenge Cup,Colombo › Sri Lanka
Sat Feb 20 2010,Tajikistan,3-0,Burma,AFC Challenge Cup,Colombo › Sri Lanka
Sun Feb 21 2010,Turkmenistan,1-0,Kyrgyzstan,AFC Challenge Cup,Colombo › Sri Lanka
Wed Feb 24 2010,North Korea,5-0,Burma,AFC Challenge Cup,Colombo › Sri Lanka
Wed Feb 24 2010,Mexico,5-0,Bolivia,Friendly,San Francisco › United States
Wed Feb 24 2010,Tajikistan,0-2,Turkmenistan,AFC Challenge Cup,Colombo › Sri Lanka
Wed Feb 24 2010,United States,2-1,El Salvador,Friendly,Tampa › United States
Thu Feb 25 2010,Jordan,0-2,Azerbaijan,Friendly,Amman › Jordan
Thu Feb 25 2010,Kuwait,4-1,Bahrain,Friendly,Al Ain › United Arab Emirates
Thu Feb 25 2010,Turkmenistan,1-1,North Korea,AFC Challenge Cup,Colombo › Sri Lanka
Sat Feb 27 2010,Malaysia,1-0,Yemen,Friendly,Kuala Lumpur › Malaysia
Sat Feb 27 2010,Tajikistan,1-0,Burma,AFC Challenge Cup,Colombo › Sri Lanka
Tue Mar 2 2010,Guadeloupe,2-1,Saint Kitts and Nevis,Friendly,Vieux-Habitants › Guadeloupe
Tue Mar 2 2010,Republic of Ireland,0-2,Brazil,Friendly,London › England
Wed Mar 3 2010,Albania,1-0,Northern Ireland,Friendly,Tirana › Albania
Wed Mar 3 2010,Algeria,0-3,Serbia,Friendly,Algiers › Algeria
Wed Mar 3 2010,Angola,1-1,Latvia,Friendly,Luanda › Angola
Wed Mar 3 2010,Armenia,1-3,Belarus,Friendly,Antalya › Turkey
Wed Mar 3 2010,Australia,1-0,Indonesia,AFC Asian Cup qualification,Brisbane › Australia
Wed Mar 3 2010,Austria,2-1,Denmark,Friendly,Vienna › Austria
Wed Mar 3 2010,Belgium,0-1,Croatia,Friendly,Brussels › Belgium
Wed Mar 3 2010,Bosnia and Herzegovina,2-1,Ghana,Friendly,Sarajevo › Bosnia and Herzegovina
Wed Mar 3 2010,Cyprus,0-0,Iceland,Friendly,Larnaca › Cyprus
Wed Mar 3 2010,El Salvador,1-2,Guatemala,Friendly,Los Angeles › United States
Wed Mar 3 2010,England,3-1,Egypt,Friendly,London › England
Wed Mar 3 2010,France,0-2,Spain,Friendly,Saint-Denis › France
Wed Mar 3 2010,Georgia,2-1,Estonia,Friendly,Tbilisi › Georgia
Wed Mar 3 2010,Germany,0-1,Argentina,Friendly,Munich › Germany
Wed Mar 3 2010,Greece,0-2,Senegal,Friendly,Vólos › Greece
Wed Mar 3 2010,Hong Kong,0-0,Yemen,AFC Asian Cup qualification,So Kon Po › Hong Kong
Wed Mar 3 2010,Hungary,1-1,Russia,Friendly,Budapest › Hungary
Wed Mar 3 2010,Iran,1-0,Thailand,AFC Asian Cup qualification,Teheran › Iran
Wed Mar 3 2010,Italy,0-0,Cameroon,Friendly,Monaco › Monaco
Wed Mar 3 2010,Ivory Coast,0-2,South Korea,Friendly,London › England
Wed Mar 3 2010,Japan,2-0,Bahrain,AFC Asian Cup qualification,Toyota › Japan
Wed Mar 3 2010,Jordan,2-1,Singapore,AFC Asian Cup qualification,Amman › Jordan
Wed Mar 3 2010,Kazakhstan,0-1,Moldova,Friendly,Antalya › Turkey
Wed Mar 3 2010,Libya,2-1,Mali,Friendly,Tripoli › Libya
Wed Mar 3 2010,Luxembourg,1-2,Azerbaijan,Friendly,Luxembourg › Luxembourg
Wed Mar 3 2010,North Macedonia,2-1,Montenegro,Friendly,Skopje › North Macedonia
Wed Mar 3 2010,Malta,1-2,Finland,Friendly,Attard › Malta
Wed Mar 3 2010,Mexico,2-0,New Zealand,Friendly,Pasadena › United States
Wed Mar 3 2010,Mozambique,0-1,Botswana,Friendly,Maputo › Mozambique
Wed Mar 3 2010,Netherlands,2-1,United States,Friendly,Amsterdam › Netherlands
Wed Mar 3 2010,Nigeria,5-2,DR Congo,Friendly,Abuja › Nigeria
Wed Mar 3 2010,Oman,0-0,Kuwait,AFC Asian Cup qualification,Muscat › Oman
Wed Mar 3 2010,Poland,2-0,Bulgaria,Friendly,Warsaw › Poland
Wed Mar 3 2010,Portugal,2-0,China PR,Friendly,Coimbra › Portugal
Wed Mar 3 2010,Romania,0-2,Israel,Friendly,Timişoara › Romania
Wed Mar 3 2010,Scotland,1-0,Czech Republic,Friendly,Glasgow › Scotland
Wed Mar 3 2010,Slovakia,0-1,Norway,Friendly,Žilina › Slovakia
Wed Mar 3 2010,Slovenia,4-1,Qatar,Friendly,Maribor › Slovenia
Wed Mar 3 2010,South Africa,1-1,Namibia,Friendly,Durban › South Africa
Wed Mar 3 2010,Switzerland,1-3,Uruguay,Friendly,St. Gallen › Switzerland
Wed Mar 3 2010,Syria,4-0,Lebanon,AFC Asian Cup qualification,Damascus › Syria
Wed Mar 3 2010,Tanzania,2-3,Uganda,Friendly,Mwanza › Tanzania
Wed Mar 3 2010,Turkey,2-0,Honduras,Friendly,Istanbul › Turkey
Wed Mar 3 2010,Uzbekistan,0-1,United Arab Emirates,AFC Asian Cup qualification,Tashkent › Uzbekistan
Wed Mar 3 2010,Venezuela,1-2,Panama,Friendly,Barquisimeto › Venezuela
Wed Mar 3 2010,Wales,0-1,Sweden,Friendly,Swansea › Wales
Wed Mar 3 2010,Zimbabwe,2-1,Malawi,Friendly,Harare › Zimbabwe
Sat Mar 6 2010,Venezuela,2-1,North Korea,Friendly,Puerto la Cruz › Venezuela
Sun Mar 7 2010,Niger,2-0,Benin,Friendly,Niamey › Niger
Wed Mar 17 2010,Mexico,2-1,North Korea,Friendly,Torreón › Mexico
Sun Mar 21 2010,Iceland,2-0,Faroe Islands,Friendly,Kópavogur › Iceland
Sun Mar 21 2010,Namibia,0-0,Botswana,Friendly,Windhoek › Namibia
Wed Mar 24 2010,Martinique,0-0,Haiti,Friendly,Fort-de-France › Martinique
Wed Mar 24 2010,Mexico,0-0,Iceland,Friendly,Charlotte › United States
Wed Mar 31 2010,Chile,0-0,Venezuela,Friendly,Temuco › Chile
Wed Mar 31 2010,Paraguay,1-1,South Africa,Friendly,Asunción › Paraguay
Sat Apr 3 2010,Saint Kitts and Nevis,3-0,Guadeloupe,Friendly,Basseterre › Saint Kitts and Nevis
Wed Apr 7 2010,Japan,0-3,Serbia,Friendly,Osaka › Japan
Wed Apr 21 2010,Honduras,0-1,Venezuela,Friendly,San Pedro Sula › Honduras
Thu Apr 22 2010,South Africa,0-0,North Korea,Friendly,Taunusstein › Germany
Wed Apr 28 2010,South Africa,2-0,Jamaica,Friendly,Offenbach am Main › Germany
Wed May 5 2010,Argentina,4-0,Haiti,Friendly,Cutral Có › Argentina
Wed May 5 2010,Chile,2-0,Trinidad and Tobago,Friendly,Iquique › Chile
Fri May 7 2010,Mexico,0-0,Ecuador,Friendly,East Rutherford › United States
Mon May 10 2010,Mexico,1-0,Senegal,Friendly,Chicago › United States
Wed May 12 2010,Yemen,1-0,Malawi,Friendly,Sana'a › Yemen
Thu May 13 2010,Germany,3-0,Malta,Friendly,Aachen › Germany
Thu May 13 2010,Mexico,1-0,Angola,Friendly,Houston › United States
Sat May 15 2010,Paraguay,1-0,North Korea,Friendly,Nyon › Switzerland
Sun May 16 2010,South Korea,2-0,Ecuador,Friendly,Seoul › South Korea
Sun May 16 2010,Mexico,1-0,Chile,Friendly,Mexico City › Mexico
Sun May 16 2010,South Africa,4-0,Thailand,Friendly,Nelspruit › South Africa
Tue May 18 2010,Yemen,0-1,Oman,Friendly,Sana'a › Yemen
Wed May 19 2010,Austria,0-1,Croatia,Friendly,Klagenfurt › Austria
Wed May 19 2010,Belgium,2-1,Bulgaria,Friendly,Brussels › Belgium
Wed May 19 2010,Gabon,3-0,Togo,Friendly,Ajaccio › France
Wed May 19 2010,Corsica,2-0,Brittany,Friendly,Ajaccio › France
Thu May 20 2010,Aruba,0-3,Venezuela,Friendly,Oranjestad › Aruba
Fri May 21 2010,DR Congo,0-2,Saudi Arabia,Friendly,Schwaz › Austria
Fri May 21 2010,Estonia,2-0,Finland,Friendly,Tallinn › Estonia
Fri May 21 2010,Brittany,2-1,Togo,Friendly,Bastia › France
Fri May 21 2010,Corsica,1-1,Gabon,Friendly,Bastia › France
Sat May 22 2010,Turkey,2-1,Czech Republic,Friendly,Harrison › United States
Sun May 23 2010,Croatia,2-0,Wales,Friendly,Osijek › Croatia
Mon May 24 2010,Argentina,5-0,Canada,Friendly,Buenos Aires › Argentina
Mon May 24 2010,Australia,2-1,New Zealand,Friendly,Melbourne › Australia
Mon May 24 2010,England,3-1,Mexico,Friendly,London › England
Mon May 24 2010,Japan,0-2,South Korea,Friendly,Saitama › Japan
Mon May 24 2010,Portugal,0-0,Cape Verde,Friendly,Covilhã › Portugal
Mon May 24 2010,South Africa,1-1,Bulgaria,Friendly,Johannesburg › South Africa
Tue May 25 2010,Armenia,3-1,Uzbekistan,Friendly,Yerevan › Armenia
