Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 3 2016,India,2-1,Afghanistan,SAFF Cup,Thiruvananthapuram › India
Wed Jan 6 2016,Rwanda,1-1,Cameroon,Friendly,Gisenyi › Rwanda
Wed Jan 6 2016,Sweden,1-1,Estonia,Friendly,Abu Dhabi › United Arab Emirates
Fri Jan 8 2016,Bangladesh,4-2,Sri Lanka,Friendly,Jessore › Bangladesh
Fri Jan 8 2016,Trinidad and Tobago,0-1,Haiti,Copa América qualification,Panama City › Panama
Fri Jan 8 2016,Panama,4-0,Cuba,Copa América qualification,Panama City › Panama
Sun Jan 10 2016,Rwanda,1-0,DR Congo,Friendly,Gisenyi › Rwanda
Sun Jan 10 2016,Sweden,3-0,Finland,Friendly,Abu Dhabi › United Arab Emirates
Mon Jan 11 2016,Maldives,3-2,Cambodia,Friendly,Jessore › Bangladesh
Wed Jan 13 2016,Finland,0-1,Iceland,Friendly,Abu Dhabi › United Arab Emirates
Wed Jan 13 2016,Nepal,1-0,Sri Lanka,Friendly,Dhaka › Bangladesh
Wed Jan 13 2016,Uganda,0-0,Cameroon,Friendly,Njeru › Uganda
Fri Jan 15 2016,Bangladesh,0-0,Nepal,Friendly,Dhaka › Bangladesh
Sat Jan 16 2016,Gabon,0-0,Morocco,African Nations Championship,Kigali › Rwanda
Sat Jan 16 2016,Rwanda,1-0,Ivory Coast,African Nations Championship,Kigali › Rwanda
Sat Jan 16 2016,United Arab Emirates,2-1,Iceland,Friendly,Dubai › United Arab Emirates
Sun Jan 17 2016,Angola,0-1,Cameroon,African Nations Championship,Butare › Rwanda
Sun Jan 17 2016,DR Congo,3-0,Ethiopia,African Nations Championship,Butare › Rwanda
Mon Jan 18 2016,Nigeria,4-1,Niger,African Nations Championship,Kigali › Rwanda
Mon Jan 18 2016,Tunisia,2-2,Guinea,African Nations Championship,Kigali › Rwanda
Tue Jan 19 2016,Maldives,1-4,Nepal,Friendly,Dhaka › Bangladesh
Tue Jan 19 2016,Mali,2-2,Uganda,African Nations Championship,Gisenyi › Rwanda
Tue Jan 19 2016,Zimbabwe,0-1,Zambia,African Nations Championship,Gisenyi › Rwanda
Wed Jan 20 2016,Morocco,0-1,Ivory Coast,African Nations Championship,Kigali › Rwanda
Wed Jan 20 2016,Rwanda,2-1,Gabon,African Nations Championship,Kigali › Rwanda
Thu Jan 21 2016,Cameroon,0-0,Ethiopia,African Nations Championship,Butare › Rwanda
