Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 8 Aug 2014 (31),Zwolle (1),2-0,0-0,Utrecht (1)
?,(Sat) 9 Aug 2014 (31),Cambuur (1),1-1,1-0,Twente (1)
?,(Sat) 9 Aug 2014 (31),Heerenveen (1),1-2,1-1,Dordrecht (1)
?,(Sat) 9 Aug 2014 (31),Heracles (1),0-3,0-0,AZ Alkmaar (1)
?,(Sat) 9 Aug 2014 (31),NAC Breda (1),1-1,1-1,Excelsior (1)
?,(Sun) 10 Aug 2014 (31),Ajax (1),4-1,1-0,Vitesse (1)
?,(Sun) 10 Aug 2014 (31),Den Haag (1),0-1,0-0,Feyenoord (1)
?,(Sun) 10 Aug 2014 (31),Go Ahead Eagles (1),2-3,1-0,Groningen (1)
?,(Sun) 10 Aug 2014 (31),Willem II (1),1-3,1-2,PSV Eindhoven (1)
?,(Fri) 15 Aug 2014 (32),Feyenoord (2),1-1,0-0,Heerenveen (2)
?,(Sat) 16 Aug 2014 (32),Dordrecht (2),1-2,0-1,Zwolle (2)
?,(Sat) 16 Aug 2014 (32),PSV Eindhoven (2),6-1,2-1,NAC Breda (2)
?,(Sat) 16 Aug 2014 (32),Twente (2),2-2,1-0,Den Haag (2)
?,(Sat) 16 Aug 2014 (32),Vitesse (2),2-2,2-1,Cambuur (2)
?,(Sun) 17 Aug 2014 (32),AZ Alkmaar (2),1-3,0-1,Ajax (2)
?,(Sun) 17 Aug 2014 (32),Excelsior (2),3-2,1-0,Go Ahead Eagles (2)
?,(Sun) 17 Aug 2014 (32),Groningen (2),3-1,2-0,Heracles (2)
?,(Sun) 17 Aug 2014 (32),Utrecht (2),2-1,0-0,Willem II (2)
?,(Fri) 22 Aug 2014 (33),Heracles (3),0-1,0-0,Cambuur (3)
?,(Sat) 23 Aug 2014 (33),Go Ahead Eagles (3),0-0,0-0,Dordrecht (3)
?,(Sat) 23 Aug 2014 (33),Heerenveen (3),2-0,0-0,Excelsior (3)
?,(Sat) 23 Aug 2014 (33),Willem II (3),3-0,2-0,AZ Alkmaar (3)
?,(Sun) 24 Aug 2014 (33),Ajax (3),1-3,1-0,PSV Eindhoven (3)
?,(Sun) 24 Aug 2014 (33),Den Haag (3),3-0,0-0,Groningen (3)
?,(Sun) 24 Aug 2014 (33),Feyenoord (3),1-2,1-1,Utrecht (3)
?,(Sun) 24 Aug 2014 (33),NAC Breda (3),1-1,0-1,Twente (3)
?,(Sun) 24 Aug 2014 (33),Zwolle (3),2-1,0-1,Vitesse (3)
?,(Fri) 29 Aug 2014 (34),Go Ahead Eagles (4),1-0,0-0,Willem II (4)
?,(Sat) 30 Aug 2014 (34),Cambuur (4),3-2,1-0,Den Haag (4)
?,(Sat) 30 Aug 2014 (34),Dordrecht (4),1-3,0-2,AZ Alkmaar (4)
?,(Sat) 30 Aug 2014 (34),Excelsior (4),3-1,1-1,Heracles (4)
?,(Sat) 30 Aug 2014 (34),Heerenveen (4),3-1,1-0,Utrecht (4)
?,(Sun) 31 Aug 2014 (34),Groningen (4),2-0,0-0,Ajax (4)
?,(Sun) 31 Aug 2014 (34),NAC Breda (4),3-1,1-0,Zwolle (4)
?,(Sun) 31 Aug 2014 (34),PSV Eindhoven (4),2-0,0-0,Vitesse (4)
?,(Sun) 31 Aug 2014 (34),Twente (4),0-0,0-0,Feyenoord (4)
